Title,Director,Cast(Subject of documentary),Genre,Notes
Zombie Hunter,Kevin King,"Danny Trejo, Martin Copping, Clare Niederpruem",Thriller,"Highland Film Group,Direct-to-video",18-Jul,N/A
1971,Johanna Hamilton,"About the break-in of an FBI office in Media, Pennsylvania",Documentary,Big Mouth Productions,April 18
22 Jump Street,Phil Lord and Chris Miller,"Jonah Hill, Channing Tatum, Ice Cube",Comedy,Columbia Pictures,13-Jun
,,,,Preceded by 21 Jump Street (2012)
3 Days to Kill,McG,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen",Action,Relativity Media,12-Feb
300: Rise of an Empire,Noam Murro,"Eva Green, Sullivan Stapleton, Rodrigo Santoro, Lena Headey,Hans Matheson",Action-adventure,Warner Bros.,7-Mar
,,,,Preceded by 300 (2007)
About Last Night,Steve Pink,"Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant, Christopher McDonald and Paula Patton",Romantic comedy,Screen Gems,14-Feb
Addicted,Billie Woodruff,"Sharon Leal, Boris Kodjoe, Kat Graham, William Levy, Tasha Smith",Drama,Lionsgate,10-Oct
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette",Comedy,Walt Disney,10-Oct
,,,,Based on the 1972 novel of the same nameby Judith Viorst
Alfredo's Fire,Andy Abrahams Wilson,About self-immolation victim Alfredo Ormando,Documentary,,2-Feb
Alien Abduction,Matty Beckerman,"Katherine Sigismund, Corey Eid, Riley Polanski, Jeff Bowser, Jordan Turchin",Horror,IFC Midnight,April 4
Alive Inside: A Story of Music and Memory,Michael Rossato-Bennett,About people with Alzheimer's disease and how music can help,Documentary,BOND/360,18-Jan
All the Beautiful Things,John D. Harkinder,About two friends who meet years later to repair a friendship,Documentary,Riff Raff Films,20-Jan
The Amazing Spider-Man 2,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Paul Giamatti, Campbell Scott, Sally Field",Superhero,Columbia Pictures,2-May
,,,,Preceded by The Amazing Spider-Man(2012)
America: Imagine the World Without Her,"Dinesh D'Souza, John Sullivan","George Washington, Abraham Lincoln","Documentary,Alternate history",Lions Gate,27-Jun
And So It Goes,Rob Reiner,"Michael Douglas, Diane Keaton, Sterling Jerins, Frances Sternhagen",Romantic Comedy,Clarius Entertainment,11-Jul
Android Cop,Mark Atkins,"Michael Jai White, Charles S. Dutton, Randy Wayne, Kadeem Hardison","Action, Sci-Fi","The Asylum, Direct-to-video",4-Feb
Angels in Stardust,William Robert Carey,"Alicia Silverstone, Billy Burke, AJ Michalka",Comedy-drama,High-Motor Productions,21-Feb
The Angriest Man in Brooklyn,Phil Alden Robinson,"Peter Dinklage, Robin Williams, Mila Kunis, Melissa Leo",Comedy,Lionsgate,23-May
Annabelle,John R. Leonetti,"Annabelle Wallis, Eric Ladin, Alfre Woodard",Horror,New Line Cinema,3-Oct
Annie,Will Gluck,"Quvenzhané Wallis, Jamie Foxx, Cameron Diaz, Rose Byrne,Bobby Cannavale",Musical drama,Columbia Pictures,19-Dec
,,,,Based on the 1924 comic strip Little Orphan Annie by Harold Gray
Apocalypse Pompeii,Ben Demaree,"Adrian Paul, Dylan Vox, Jhey Castles, John Rhys-Davies",Horror,The Asylum,18-Feb
Appropriate Behavior,Desiree Akhavan,"Desiree Akhavan, Rebecca Henderson, Scott Adsit, Halley Feiffer",Comedy,Parkville Pictures,18-Jan
"As Above, So Below",John Erick Dowdle,Not Yet Announced,Thriller,Universal Studios,15-Aug
Asian School Girls,Lawrence Silverstein,"Sam Aotaki, Catherine Hyein Kim, Minni Scarlet, Belle Hengsathorn",Action,The Asylum,April 15
Atlas Shrugged: Part III,James Manera,"Kristoffer Polaha, Laura Regan, Joaquim de Almeida, Eric Allen Kramer, Rob Morrow",Drama,Atlas Distribution Company,12-Sep
,,,,Based on the novel Atlas Shrugged by Ayn Rand
,,,,Preceded by Atlas Shrugged: Part II (2012)
Authors Anonymous,Ellie Kanner,"Kaley Cuoco, Tricia Helfer, Jonathan Banks, Jonathan Bennett,Teri Polo, Dennis Farina, Charlene Amoia",Comedy,Screen Media,April 18
Back in the Day,Michael Rosenbaum,"Michael Rosenbaum, Morena Baccarin, Kristoffer Polaha, Isaiah Mustafa, Harland Williams",Comedy,Screen Media Films,17-Jan
Bad Johnson,Huck Botko,"Cam Gigandet, Jamie Chung, Nick Thune",Comedy,Gravitas Ventures,2-May
The Bag Man,David Grovic,"John Cusack, Robert De Niro, Crispin Glover, Dominic Purcell",Thriller,Universal Studios,28-Feb
,,,,Based on the original screenplay by James Russo
Barefoot,Andrew Fleming,"Evan Rachel Wood, Scott Speedman, Treat Williams, Kate Burton",Romantic comedy,Roadside Attractions,2-Feb
Basement,Topel Lee,"Betong Sumaya, Alvin Aragon, Carl Acosta, Dex Quindoza",Horror,GMA Films,12-Feb
Bears,"Alastair Fothergill,Keith Scholey",A family of grizzly bears in the mountains of Alaska.,Documentary,Disneynature,April 18
Beautiful Noise,Eric Green,About three bands and their influence on other rock bands and genres,Documentary,HypFilms,31-May
The Better Angels,A. J. Edwards,"Jason Clarke, Wes Bentley, Diane Kruger, Brit Marling",Drama,Amplify,18-Jan
Better Living Through Chemisty,David Posamentier,"Sam Rockwell, Olivia Wilde, Michelle Monaghan, Ray Liotta",Comedy,Samuel Goldwyn Films,14-Mar
Big Hero 6,Don Hall,T. J. Miller,"Animated,Superhero",Walt Disney,7-Nov
Black Water Vampire,Evan Tramel,"Danielle Lozeau, Andrea Monier, Anthony Fanelli, Robin Steffen",Horror,Image Entertainment,24-Jan
Blackbird,Gina Prince-Bythewood,"Gugu Mbatha-Raw, Minnie Driver, Nate Parker, Danny Glover,Machine Gun Kelly, Hayley Marie Norman","Romance,Comedy",Relativity Media,14-Nov
Blended,Frank Coraci,"Adam Sandler, Drew Barrymore, Bella Thorne, Emma Fuhrmann,Alyvia Alyn Lind",Comedy,Warner Bros.,23-May
Book of Life,Jorge Gutierrez,"Channing Tatum, Zoe Saldana, Diego Luna, Christina Applegate,Ice Cube",Animated,20th Century Fox,17-Oct
The Boxtrolls,"Graham Annable,Anthony Stacchi","Isaac Hempstead-Wright, Ben Kingsley, Elle Fanning, Simon Pegg,Toni Collette","Adventure,Animated,Comedy",Focus Features,26-Sep
,,,,Based on the novel Here Be Monsters! by Alan Snow
Boyhood,Richard Linklater,"Ethan Hawke, Patricia Arquette, Brad Hawkins, Ellar Coltrane",Drama,IFC Films,19-Jan
Brick Mansions,Camille Delamarre,"Paul Walker, RZA, Sal Longobardo, Robert Maillet, David Belle,Carlo Rota",Action,Relativity Media,April 25
Buck Wild,Tyler Glodt,"Matthew Albrecht, Dru Lockwood, Isaac Harrison, Meg Cionni",Horror comedy,Millennium Entertainment,18-Mar
Bullet,Nick Lyon,"Danny Trejo, Jonathan Banks, Torsten Voges, Julia Dietze, Max Perlich",Thriller,IFA Distribution,25-Feb
Business Trip,Ken Scott,"Vince Vaughn, Dave Franco, Nick Frost, Tom Wilkinson",Comedy,20th Century Fox,24-Oct
Camp Takota,"Chris Riedell, Nick Riedell","Grace Helbig, Mamrie Hart, Hannah Hart, Chris Riedell",Comedy,VHX,14-Feb
Camp X-Ray,Peter Sattler,"Kristen Stewart, Peyman Moaadi, Julia Duffy, John Carroll Lynch",Drama,IFC Films,17-Jan
Captain America: The Winter Soldier,The Russo Brothers,"Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie,Cobie Smulders, Samuel L. Jackson","Spy,Superhero","Marvel Films, Walt Disney",April 4
,,,,Based on the novel Captain America by Joe Simon
,,,,Preceded by Captain America: The First Avenger (2011)
The Case Against 8,"Ben Cotner, Ryan White",Documents the legal battle in California Proposition 8,Documentary,"HBO Films, Tripod Media",18-Jan
Cheap Thrills,E.L. Katz,"Pat Healy, Sara Paxton, Ethan Embry, David Koechner","Black comedy,Thriller",Drafthouse Films,24-Mar
Chef,Jon Favreau,"Jon Favreau, Robert Downey, Jr., Scarlett Johansson, Dustin Hoffman, Sofia Vergara",Comedy,Open Road Films,9-May
Cold in July,Jim Mickle,"Michael C. Hall, Sam Shepard, Don Johnson, Vinessa Shaw",Drama,IFC Films,23-May
,,,,Based on the novel of the same name byJoe R. Lansdale
Comet,Sam Esmail,"Emmy Rossum, Justin Long, Eric Winter",Comedy,Milestone Media,2-Jan
Cooties,Cary Murnion,"Elijah Wood, Rainn Wilson, Alison Pill, Jack McBrayer, Leigh Whannell, Nasim Pedrad, Ian Brennan and Jorge Garcia",Horror comedy,Lionsgate,10-Oct
,,,,Universal Pictures
Dark Places,Gilles Paquet-Brenner,"Charlize Theron, Nicholas Hoult, Chloë Grace Moretz, Christina Hendricks",Mystery,Based on the novel of the same name byGillian Flynn,5-Sep
Dawn of the Planet of the Apes,Matt Reeves,"Gary Oldman, Jason Clarke, Kodi Smit-McPhee, Andy Serkis, Judy Greer",Sci-Fi,20th Century Fox,11-Jul
,,,,Preceded by Rise of the Planet of the Apes(2011)
Dear White People,Justin Simien,"Tyler James Williams, Tessa Thompson, Kyle Gallner, Brittany Curran",Drama,,18-Jan
Deliver Us from Evil,Scott Derrickson,"Eric Bana, Olivia Munn, Joel McHale, Sean Harris","Action, Horror",Screen Gems,2-Jul
,,,,Based on the novel Beware the Night by Ralph Sarchie
Devil's Due,Matt Bettinelli-Olpin,"Allison Miller, Zach Gilford",Horror,20th Century Fox,17-Jan
Divergent,Neil Burger,"Shailene Woodley, Theo James, Ashley Judd, Jai Courtney, Ray Stevenson, Zoë Kravitz, Miles Teller, Tony Goldwyn, Maggie Q andKate Winslet","Adventure,Sci-Fi",Summit Entertainment,21-Mar
,,,,Based on the novel of the same name byVeronica Roth
Dolphin Tale 2,Charles Martin Smith,"Harry Connick Jr., Ashley Judd, Nathan Gamble, Cozi Zuehlsdorff,Morgan Freeman",Family,Warner Bros.,19-Oct
,,,,Preceded by Dolphin Tale (2012)
Dracula Untold,Gary Shore,"Luke Evans, Sarah Gadon, Dominic Cooper, Samantha Barks",Action drama,Universal Pictures,17-Oct
Draft Day,Ivan Reitman,"Kevin Costner, Jennifer Garner, Denis Leary, Frank Langella, Sam Elliot, Ellen Burstyn and Chadwick Boseman","Dramedy,Sports","Summit Entertainment, OddLot Entertainment",April 11
Dumb and Dumber To,Bobby Farrelly,"Jim Carrey, Jeff Daniels, Laurie Holden, Kathleen Turner",Comedy,Universal Pictures,14-Nov
,,,,Preceded by Dumb and Dumber (1994)
Dumbbells,Christopher Livingstone,"Brian Drolet, Hoyt Richards, Mircea Monroe, Jaleel White, Taylor Cole, Carl Reiner, Nancy Olson",Comedy,Tortoise Entertainment,10-Jan
Earth to Echo,Dave Green,"Teo Halm, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford",Sci-Fi,Relativity Media,April 25
Edge of Tomorrow,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Kick Gurry",Sci-Fi,Warner Bros.,6-Jun
,,,,Based on the novel All You Need Is Kill byHiroshi Sakurazaka
Endless Love,Shana Feste,"Alex Pettyfer, Gabriella Wilde, Robert Patrick, Bruce Greenwood",Romantic drama,Universal Pictures,14-Feb
The Equalizer,Antoine Fuqua,"Denzel Washington, Chloë Grace Moretz, Marton Csokas",Thriller,Columbia Pictures,26-Oct
,,,,Based on the novel of the same name by Michael Sloan and Richard Lindheim
Exodus,Ridley Scott,"Christian Bale, Joel Edgerton, Aaron Paul, Sigourney Weaver, Ben Kingsley",Drama,20th Century Fox,12-Dec
The Expendables 3,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Randy Couture, Terry Crews, Arnold Schwarzenegger, Mel Gibson,Harrison Ford, Wesley Snipes",Action,Lionsgate,15-Aug
,,,,Preceded by The Expendables 2 (2012)
The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",Romance,20th Century Fox,6-Jun
Foxcatcher,Bennett Miller,"Channing Tatum, Steve Carrell, Mark Ruffalo, Vanessa Redgrave",Drama,Sony Pictures,14-Nov
Fury,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Jon Bernthal",Drama,Sony Pictures,14-Nov
Get on Up,Tate Taylor,"Chadwick Boseman, Nelsan Ellis, Tika Sumpter, Viola Davis","Bio-pic,Drama",Universal Studios,1-Aug
The Giver,Phillip Noyce,"Jeff Bridges, Brenton Thwaites, Meryl Streep, Odeya Rush",Sci-Fi,The Weinstein Company,15-Aug
,,,,Based on the 1993 novel of the same nameby Lois Lowry
God's Not Dead,Harold Cronk,"Shane Harper, Kevin Sorbo, David A.R. White, Marco Khan",Drama,Pure Flix Entertainment,21-Mar
,,,,Based on the novel God's Not Dead: Evidence For God In An Age Of Uncertaintyby Rich Brooks
God's Pocket,John Slattery,"Philip Seymour Hoffman, Richard Jenkins, Christina Hendricks,Domenick Lombardozzi",Drama,IFC Films,9-May
,,,,Based on the novel of the same name byPete Dexter
Godzilla,Gareth Edwards,"Aaron Taylor-Johnson, Bryan Cranston, Elizabeth Olsen, Ken Watanabe, Juliette Binoche",Sci-Fi,Warner Bros.,16-May
,,,,Reboot of the original films
Gone Girl,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",Thriller,20th Century Fox,3-Oct
,,,,Based on the novel of the same name byGillian Flynn
The Good Lie,Philippe Falardeau,"Reese Witherspoon, Corey Stoll, Sarah Baker",Drama,Warner Bros.,3-Oct
Guardians of the Galaxy,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, John C. Reilly, Glenn Close, Benicio del Toro",Sci-Fi,"Walt Disney, Marvel Studios",1-Aug
The Guest,Adam Wingard,"Dan Stevens, Maika Monroe, Brendan Meyer, Sheila Kelley,Leland Orser",Thriller,Picturehouse,5-Sep
Happy Camp,Josh Anthony,"Josh Anthony, Michael Barbuto, Ben Blenkle, Teddy Gilmore, Anne Taylor",Horror,Gravitas Ventures,25-Mar
Happy Christmas,Joe Swanberg,"Anna Kendrick, Lena Dunham, Melanie Lynskey",Drama,Paramount Pictures,25-Jul
A Haunted House 2,Michael Tiddes,"Marlon Wayans, Essence Atkins, Affion Crockett, Jaime Pressly,Cedric the Entertainer","Comedy,Parody",Open Road Films,April 18
,,,,Preceded by A Haunted House (2013)
Heaven Is for Real,Randall Wallace,"Greg Kinnear, Kelly Reilly, Connor Corum, Margo Martindale andThomas Haden Church",Drama,TriStar Pictures,April 16
,,,,Based on the novel of the same name by Pastor Todd Burpo
Hellion,Kat Candler,"Aaron Paul, Juliette Lewis, Annalee Jefferies, Josh Wiggins",Drama,IFC Films,13-Jun
Hercules,Brett Ratner,"Dwayne Johnson, John Hurt, Aksel Hennie, Rufus Sewell, Ian McShane, Ingrid Bolsø Berdal, Reece Ritchie",Adventure,Paramount Pictures,25-Jul
,,,,Based on the novel of the same name
Hits,David Cross,"Matt Walsh, James Adomian, Jake Cherry, Meredith Hagner",Drama,,12-May
The Homesman,Tommy Lee Jones,"Tommy Lee Jones, Hilary Swank, Grace Gummer, Miranda Otto,Sonja Richter, Meryl Streep","Drama,Western",Saban Films,7-Nov
,,,,Based on the novel of the same name byGlendon Swarthout
Honeymoon,Leigh Janiak,"Rose Leslie, Harry Treadaway, Ben Huber, Hanna Brown",Horror,Magnolia Pictures,12-Sep
Horrible Bosses 2,Sean Anders,"Jason Bateman, Charlie Day, Jason Sudeikis, Jennifer Aniston,Kevin Spacey, Jamie Foxx",Comedy,Warner Bros.,26-Nov
,,,,Preceded by Horrible Bosses (2011)
Hot Tub Time Machine 2,Steve Pink,"Craig Robinson, Adam Scott, Rob Corddry, Chevy Chase",Comedy,Paramount Pictures,25-Dec
,,,,Preceded by Hot Tub Time Machine (2010)
How to Train Your Dragon 2,Dean DeBlois,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrara,Jonah Hill","Animated,Fantasy",20th Century Fox,13-Jun
,,,,Based on the novel of the same name byCressida Cowell
,,,,Preceded by How to Train Your Dragon(2010)
The Hundred-Foot Journey,Lasse Hallström,"Helen Mirren, Manish Dayal, Om Puri",Drama,Walt Disney,8-Aug
,,,,Based on the novel of the same name by Richard C. Morais
The Hunger Games: Mockingjay ? Part 1,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Philip Seymour Hoffman, Stanley Tucci, Julianne Moore, Donald Sutherland, Willow Shields",Action-adventure,Lions Gate Entertainment,21-Nov
,,,,Based on the novel Mockingjay by Suzanne Collins
,,,,Preceded by The Hunger Games: Catching Fire (2013)
The Hungover Games,Josh Stolberg,"Sam Pancake, Ross Nathan, Ben Begley, Herbert Russell",Parody,Sony Pictures,18-Feb
,,,,"Parody of The Hangover, The Hunger Games and Ted"
I Origins,Mike Cahill,"Michael Pitt, Brit Marling, Astrid Berges-Frisbey, Steven Yeun",Sci-fi,Fox Searchlight Pictures,18-Jul
"I, Frankenstein",Stuart Beattie,"Aaron Eckhart, Bill Nighy, Yvonne Strahovski, Miranda Otto, Socratis Otto, Jai Courtney, Kevin Grevioux","Action,Fantasy","Lionsgate, Lakeshore Entertainment,Sidney Kimmel Entertainment",24-Jan
,,,,Based on the novel by Kevin Grevioux
If I Stay,R.J. Cutler,"Chloë Grace Moretz, Mireille Enos, Liana Liberato",Drama,Warner Bros.,22-Aug
,,,,Based on the novel of the same name byGayle Forman
In the Blood,John Stockwell,"Gina Carano, Cam Gigandet, Danny Trejo",Action,Anchor Bay Films,April 4
Inherent Vice,Paul Thomas Anderson,"Joaquin Phoenix, Owen Wilson, Josh Brolin, Reese Witherspoon,Benicio del Toro","Comedy,Drama",Warner Bros.,12-Dec
,,,,Based on the novel of the same name byThomas Pynchon
The Interrogation of Cheryl Cooper,Albert Pyun,"Shane Ryan, Tommie Vegas, Brittany Bochart",Horror,Curnan Pictures,2-May
Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Matt Damon",Sci-Fi,Warner Bros.,7-Nov
The Interview,"Evan Goldberg,Seth Rogen","Seth Rogen, James Franco, Lizzy Caplan",Action comedy,Columbia Pictures,10-Oct
Into the Storm,Steven Quale,"Richard Armitage, Jeremy Sumpter, Sarah Wayne Callies, Nathan Kress",Thriller,Warner Bros.,8-Aug
Into the Woods,Rob Marshall,"Meryl Streep, Johnny Depp, Emily Blunt, James Corden, Anna Kendrick",Fantasy,Walt Disney,25-Dec
,,,,Based on the musical of the same name
Jack Ryan: Shadow Recruit,Kenneth Branagh,"Chris Pine, Kevin Costner, Kenneth Branagh, Keira Knightley",Spy thriller,Paramount Pictures,17-Jan
,,,,Based on characters created by Tom Clancy
,,,,Preceded by The Sum of All Fears (2002)
Jamesy Boy,Trevor White,"Mary-Louise Parker, Ving Rhames, Taissa Farmiga, James Woods, Rosa Salazar",Crime drama,Phase 4 Films,3-Jan
Jersey Boys,Clint Eastwood,"John Lloyd Young, Vincent Piazza, Erich Bergen, Christopher Walken",Musical,Warner Bros.,20-Jun
,,,,Based on the musical of the same name
Jessabelle,Kevin Greutert,"Sarah Snook, Mark Webber, Joelle Carter, Ana de la Reguera",Horror,Lionsgate,7-Nov
Jinn,Ajmal Zaheer Ahmad,"Sibylla Deen, Ray Park, Faran Tahir, Serinda Swan",Thriller,Freestyle Releasing,April 4
The Judge,David Dobkin,"Robert Downey, Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",Drama,Warner Bros.,10-Oct
Kid Cannabis,John Stockwell,"Jonathan Daniel Brown, Kenny Wormald, Aaron Yoo, Ron Perlman",Drama,Well Go USA Entertainment,April 18
Kidnapped for Christ,Kate S. Logan,Follows teenagers who are sent to a behavior modification school in the Dominican Republic.,Documentary,Red Thorn Productions,10-Jul
Labor Day,Jason Reitman,"Kate Winslet, Josh Brolin, Gattlin Griffith, Tobey Maguire",Drama,Paramount Pictures,31-Jan
,,,,Based on the novel of the same name byJoyce Maynard
Laggies,Lynn Shelton,"Chloë Grace Moretz, Keira Knightley, Sam Rockwell, Tiya Sircar",Comedy,A24 Films,26-Sep
Last Weekend,Tom Dolby,"Patricia Clarkson, Zachary Booth, Chris Mulkey, Devon Graye",Comedy,Sundance Selects,29-Aug
Left Behind,Vic Armstrong,"Nicolas Cage, Chad Michael Murray, Cassi Thomson, Lea Thompson, Jordin Sparks",Thriller,Based on the novel of the same name byTim LaHaye,3-Oct
The Legend of Hercules,Renny Harlin,"Kellan Lutz, Scott Adkins, Liam McIntyre, Liam Garrigan,Johnathan Schaech, Roxanne McKee, Gaia Weiss and Rade ?erbed?ija",Action-adventure,"Summit Entertainment, Millennium Entertainment",10-Jan
Legends of Oz: Dorothy's Return,Will Finn,"Lea Michele, Martin Short, Jim Belushi, Dan Aykroyd, Kelsey Grammer, Megan Hilty, Hugh Dancy, Oliver Platt, Bernadette Peters, Patrick Stewart","Animated,Fantasy",Clarius Entertainment,9-May
The Lego Movie,Phil Lord and Chris Miller,"Chris Pratt, Elizabeth Banks, Will Arnett, Morgan Freeman,Channing Tatum, Will Ferrell","Adventure,Animated",Warner Bros.,7-Feb
